как жарко сегодня,температура
Действительно ли это горячо снаружи?,температура
Будет ли это неудобно жарко?,температура
Будет ли это душное,температура
Как холодно сегодня?,температура
На улице холодно?,температура
Будет неудобно холодно ?,температура
Будет ли прохладно?,температура
Каков ожидаемый максимум на сегодня?,температура
Какова ожидаемая температура ?,температура
Будет ли высокая температура?,температура
Слишком холодно,температура
Когда упадёт температура ?,температура
Слишком жарко?,температура
Это холодно?,температура
Как холодно сейчас?,температура
У нас сегодня будет холодный день?,температура
Когда холод пройдёт?,температура
Какой максимум мы ожидаем?,температура
Какой минимум мы ожидаем?,температура
Тепло?,температура
Снова это холодно,температура
Какова текущая температура в градусах Цельсия ?,температура
Какая температура по Фаренгейту ?,температура
Сейчас ветрено,условия
Будет ли дождь сегодня?,условия
Каковы шансы на дождь?,условия
Мы получим снег?,условия
Ожидается солнечная погода,условия
Пасмурно?,условия
Будет ли облачно?,условия
Сколько дождя выпадет сегодня?,условия
Сколько снега мы ожидаем?,условия
Ветрено снаружи ?,условия
Сколько снега мы ожидаем?,условия
Ожидается снег?,условия
Мы увидим солнце,условия
Когда будет дождь?,условия
Облачно?,условия
Сейчас солнечно?,условия
Будет ли дождь?,условия
Будет ли у нас солнечно?,условия
Опасны ли ветры?,условия
Каков ожидаемый снегопад сегодня?,условия
Будет ли сухо?,условия
Будет ли свежо?,условия
Будет ли влажно?,условия
Какова сегодняшняя ожидаемая влажность?,условия
Будут ли метели?,условия
Будет моросить?,условия